date, riego
"8/23/2018",1
"8/24/2018",0
"8/25/2018",0	
"8/26/2018",0
"8/27/2018",0	
"8/28/2018",1
"8/29/2018",0	
"8/30/2018",0	
"8/31/2018",1
"9/1/2018",0	
"9/2/2018",1
